mendemobilisasikan	demobilize||1
sosialisasi sosialisasi	socialization||4
pertandingan berlangsung menit	minutes||8
memulai berbagai	initiating||1
ketidakstabilan arbitrase merupakan respon terhadap ketidakstabilan	volatility||1
fungsi kompresi	compression||1
menua 	aging||1
Pertama marilah	Let||1
dengan cermat	carefully||3
Kamar-kamar rumah sakit	hospitals||1
terutama berasal	mainly||1
Brazil Derlei	Derlei||1
zat besi	iron||1
tekanan-tekanan	pressures||2
kompilasi	compilation||3
laki-laki ii rasio	boys||1
PKPS Satker Pusat	PKPS||1
ikut ambil	take||1
pewaralaba	franchisees||2 franchisee||1
lembaran renungan Lembaran pernah bersama sebuah Pesawat Ulang Alik	Shuttle||1
aliansinya	alliance||1
subkomite memberi tahu	subcommittee||1
diabaikan begitu saja	ignored||1
kepolisian kepolisian	police||1
juga menyamakan	equalize||1
gubernur	governors||9 governor||25 Governor||1
reputasi sebagai pemain	reputation||1
mengincar	targeting||2 seeking||2
pertandingan baru berlangsung detik	seconds||4
pembayar pajak	taxpayers||8
babak pembuka	opener||1
jauhnya kemacetan tentu akan membuat bergetar 	vibrating||1
melati	jasmine||2
pihak badan perwakilan	Representative||1
realisasi negara	state||1
Mungkin ketiadaan inilah	Perhaps||1
lokasi lokasi	locations||3
pungutan tidak resmi	unofficial||1
pertanyaan Allah	question||1
opeh sejenis palem	palm||1
Tumor	tumor||1
Dubes OKI	OIC||1
mendapatkan medali	medallist||1
Apakah kamu bodoh 	stupid||1
perbedaan Atambua	difference||1
pulang	return||5 returned||1 back||3 home||1
jaket	jacket||3 jackets||1 jersey||2
adalah Beghin-Say	Beghin-Say||1
masih berlangsung sangat	extremely||1
Saat ini	Currently||18 Nowadays||4 currently||7 Today||21
artikelnya	articles||1
Apa	What||1 How||9 Do||2 things||1 Whatever||1
prediksi prediksi	prediction||1
palung	trough||1
Komputer jinjing	Laptops||4
deflasi	deflation||7
Selasa mengadakan pertemuan Utusan Sekjen	Envoy||1
buah ek	acorn||5
semakin besar	bigger||5
Pujian	Praise||1
laut sana	sea||1
sebuah sekolah makin rendah nilai tes matematika muridnya	math||1
pengelolaan manajemen	management||1
bersukacita	joy||4 rejoice||1 rejoiced||3 glad||1
konsorsium menghasilkan	consortium||1
agen penjual	dealers||4
pernyataan berikut	statements||3
terkesan berterima kasih	impressed||1
Ketua Parlemen	speaker||1
Kemitraan sempat vakum selama berikutnya	vacuum||1
terkena dampak krisis parah	affected||1
Pertemuan FOMC The Fed	FOMC||1
mengatasi persoalan-persoalan	address||1
sinyal sama Tidakkah hal	signals||1
kriminalitas	crime||1
klub Primera	Primera||1
Pemda Bandung	Bandung||3
hirarki	hierarchy||1
sebut Benninger	Benninger||1
super komputer	supercomputer||1
Anak-anak pekerja	Children||1
TEMUAN	FINDINGS||4
arisan sebagai suatu kewajiban semacam paksa para	arisan||1
penyeberangan	crossing||2
pedagang arbitrasenya	trader||1
persetengahtahunan	instalments||1
infrastruktur gudang agar lebih baik sekarang	warehouses||1
kelas dasar	classes||1
penuh	Stocked||1 fraught||1 teeming||1 filled||8 unanimous||1 full||127 full-time||4 fully||19 whole||2
in tea vinaigrette	vinaigrette||1
pemeriksaan hewan pemeriksaan	inspection||1
diperoleh diisi secara penuh	filled||1
Hamburg menempati posisi	Hamburg||2
bertumbuh dewasa	grow||1
Nama	name||13 names||4
dekonsentrasi tugas pembantuan urusan pelaksanaannya	matters||1
dosa  anak	sin||1
kebetulan	coincidence||8 chance||4 coincidences||2 happen||3 coincidental||1 happened||2
oleh Capitol	Capitol||1
Hymowitz	Hymowitz||1
pendapatan investor	investors||1
mengabaikan berkat disediakan-Nya	blessing||1
Perubahan Demokratik MDC	Change||1
pola mempunyai	pattern||1
jarak pendek	short-range||1
guru guru	teachers||8
Suisee	Suisse||1
Outstanding loan per	Outstanding||1
premi	premiums||20 premium||55
Mengapa demikian	Why||1
fasilitas layanan umum	facilities||1
penderita berhasil didiagnosis	diagnosed||1
Djaelani suku	Djaelani||1
sesudahnya	later||2 afterwards||2
gratis gratis	free||1
bisa berjalan-jalan	walking||1
sawah lahan	fields||1
daerah-daerah pesisir	coastal||1
Jalur kereta jalur	railway||1
dengarkan	listen||4
sama dilayani	served||1
Jurubicara	spokesman||23
Qizhen duta besar menuju	Qizhen||1
Di sekitar	Around||1
membenci maka kebencian berbalik siap hadapi	hate||1
percabulan	immorality||1
BNI	BNI||39
tidak didukung	unsupported||3
ketika melewati tempat-tempat menakutkan	scary||1
memberikan penyuluhan kepada	providing||1
tata ruang membuat tertata rapi	orderly||1
sebagaimana tercantum Efektivitas Pemberian	Effectiveness||1
bubar	disband||1
komoditas masih ada cenderung industri tangga	industries||1
Fakta menyebutkan	fact||1
posisi pelatih tersebut Gates	positions||1
hukum-hukum kebesaran Israel	greatness||1
proporsi	proportions||26 proportion||238
takkan dapat mengusir luar	chased||1
Bukopin	Bukopin||6
Namun sel telur dibuahi	egg||1
kompartemen dinamakan Linden	Linden||1
carolina california	Carolinas||1
Perempuan Perempuan	Women||1
non tempur	non-combat||2
e Ketidaktepatan jadwal dipengaruhi	e||2
jangkauan	reach||9 outreach||2 range||1 coverage||7
tepi area	edge||4
marjin mengalami	margins||1
rupa	form||1 way||3
digiling	grinded||1
ARENA	ARENA||1
keyakinan terhadap	confidence||2
Sesudah	After||1
Fossati format pemain	Fossati||1
tur	tour||11 tours||3 Tour||2
Napier akhir pekan silam	Napier||1
molekul-molekul	molecules||3
tua	old||50 older||5 elderly||5 Parents||1 shoulda||1
kata-kata menanti Anda	you||1
perjanjian mendetil	agreements||1
antaranya antara	Among||1
diperkirakan atau diprediksi berapa selama	predict||1
Telecom Tbk	Telecom||1
Ketiga orang	trio||1
tabungan tabungan	savings||6
Didukung mutu sejajar pusat-pusat onkologi	Supported||1
mendapat jaminan	guaranteed||1
bentuk retribusi	levy||1
agar Rudolf	Rudolf||1
sebagai suatu keharusan rangka mengatur	regulating||1
poin poin poin	points||2
perahu perahu	boat||1
memfokuskan	focusing||7 focused||10 focus||10
Ciptaan	creation||1
kacang-kacangan	beans||1 nuts||2
ekonomi maka	economy||1
satker provinsi	satker||1
memelopori	pioneered||2
Inflasi ditakuti awam sekalipun	Inflation||1
nasional mengalokasikan Juta pembangunan serta pengenalan	development||1
Baru Arnoldi	Arnoldi||1
sempat kali nyaris diserang perompak	pirate||1
kegiatan pemantauan	monitoring||4
antaranya kulkas	refrigerator||1
lumrah	normal||2
lompatan Phil lapangan membuat terkesan	leap||1
india maka	indian||1
Yazbeck mendesak pemerintah	Yazbeck||1
tetap berada	remain||11 remained||1 stay||10
desa berkedudukan kaki bukit terisolasi	foothills||1
dipaksakan	forced||1
bisa menyalahkan	blame||1
lembaga-lembaga peradilan	institutions||1
obat-obatan terlarang	drugs||2
mesin harga	machinery||1
Meregangkan tangannya	Stretching||1
hoki	hockey||1
pemikiran bersama	thinking||1
tunjangan profesi persyaratan	allowance||1
menyatakan menerima	accepted||1
Yongbyon	Yongbyon||8
penciptaan	creating||8 create||4 creation||36
mengubah sebuah	modifying||1
lewat tembakan Frederic	Frederic||1
hijau	green||43
Pengorganisasian jualan tradisional perlu dilakukan	Organizing||1
bisnis	business||440 Business||1 businesses||79
dimana year on year	year-on-year||1
Kami memperkirakan melemah menjaga	weaken||1
Westinghouse dikarenakan penstrukturan ulang	Westinghouse||1
tergulingnya	ouster||2
hingga saat monorel DKI	monorail||1
meluangkan	spend||2
seminggu	week||1
kakak perempuannya	sister||1
penggunaan semester semester-semester berikutnya	semesters||1
Anteater	Anteaters||3
Pengeluaran sendiri	expenditures||1
Kuehn berumur	Kuehn||1
President Reuven	Reuven||1
apendiks	appendix||1
hidangan laut	seafood||9
cabai tenaga ekstra tanginess	tanginess||1
korps	corps||1
salafiyah menampung	salafiyah||1
prabayar	prepaid||1 pre-paid||2
Selanjutnya Bab	Chapter||1
semakin lama	longer||2
diucapkan WTO Menurutnya mendatang impor ke Cina	imports||1
Kejahatan ICC sebagai penjahat	ICC||1
pangkalan	bases||7 base||40 airbase||3
Taman terkenal	Well-known||1
Ada beberapa pertimbangan	considerations||1
ditumbuhkan	grown||2 grow||1
Sebanyak dua kali	Twice||2
akhirnya	eventually||73 ultimately||7 end||40 eventual||2 Finally||1 finally||66
layanan layanan	services||1
jajak pendapat terbaru	poll||1
sereh	Lemongrass||1
dinilai memanipulasi	manipulating||1
tatahan	hits||1 strikes||2
Berkatilah	Bless||1
Penyitaan	Confiscation||1
kelima	five||22 fifth||61
pembalasan	retribution||2 reprisals||1 retaliation||3 revenge||1
tim tim	teams||1 team||2
rahasia	confidential||3 secrets||5 covert||4 classified||3 secret||28 secretive||1
ketajaman	discernment||1
menjenguk kerabat	relatives||1
kantor berita Prancis AFP Pihak	AFP||1
diajukan orang Israel	Israelites||1
Bielefeld kandas	Bielefeld||1
Anda tugas Anda Anda	your||1
menutup luka	wound||1
berbentuk	form||22 shaped||5 shape||3
lunak	soft||14 software||5
Pejantan	male||1
terdiri PT Inv Private	Inv||1
mengisyaratkan bahwa	hinted||3
lunas	settled||1 paid||1
hal bagi para semua orang harus tebak sendiri	guess||1
Iran-Contra benar-benar	Iran-Contra||1
putaran pertandingan	leg||1
Alishtari dikonfirmasi	Alishtari||1
Kevin Baugh	Baugh||1
Desa Buahdua	Buahdua||9
ujian praktik	examination||1
penerima manfaat manfaat	beneficiaries||1
orang Iran-Amerika demikian berita	Iranian-American||1
Awami Hasina	Awami||1
hutan sekitarnya	forests||1
ternyata nilai tes	scores||1
menelefon	telephoned||1
Tanda kurang kata dia	mark||1
dituangkan	poured||3
Kesiapan Masyarakat	Communities||1
Qena Tengah terpapar	Qena||1
rencana kunjungan menuju Johndroe	Johndroe||1
selanjutnya berhadapan Gilles	Gilles||1
spesialisasi	speciality||3
daur ulang	recycled||2 recycling||4
sempurna	perfect||72 flawlessly||1 formed||3 superb||1 flawless||10 consummate||1 perfectly||10
Askeskin Askeskin	Askeskin||1
terus	continues||1
Adapun kegiatan MGMP	MGMP||1
tampak sistematis	systemically||1
mengaitkan	linked||2 linking||2
mampu memberdayakan	empower||1
hiperoksia	hyperoxia||3
perpecahan	divisions||4 split||1
adanya baik	better||1
becek	muddy||4
Fairest Lord Jesus	Jesus||1
bahwa peraturan	ordinance||2
supaya mengadakan perlawan-an tetap berdiri sesudah kamu menyelesai-kan sesuatu	stand||1
pengembangan bidang usaha hulu	upstream||1
Persentase persentase	percentage||3
Beberapa sumber	Sources||1
Kanker	CANCER||1 cancer||1 Cancer||12
Untuk disiplin ilmu	TO||1
kuncinya Ini	Here||1
Indonesia BRI Afdeelingsbank	Afdeelingsbank||1
Monev internal	Internal||1
praktis lingkungan akan mengetahui jawabannya	Environment||1
Tiga puluh sembilan orang Italia memerintah	Thirty-nine||1
logo	logo||3 logos||3
tidak ada sama sekali	none||2
pemukiman sedang melaut ke luar daerah	settlement||2
Sungguh suatu pikiran aneh Sekali-kali tidak layak Lepaskanlah kiranya	Deliver||1
lemari aku punya	closet||1
menteri	ministers||22 minister||93 ministerial||7 Minister||2 secretary||10 Secretary||3
diversifikasi usaha menunjukkan	diversification||1
ia bertujuan menghasilkan sejumlah peternakan sisa hal-hal paling disukainya	ranch||1
mendengarkan	heed||1 listened||5 short-wave||1 hearing||7 heard||5 hear||9 listening||13 listens||2 listen||13
berusia tua	old||1 elderly||1 older||1
Perlu dilakukan penyebaran lebih luas serta	Wider||1
mengorbankan diri	sacrifice||1
diterapkannya denda perdes peraturan desa	fines||1
babak perempatfinal	quarter-finals||3
Vertikal	Vertical||1
membeli membayar	paying||1
barangkali	probably||1
Rabou menyarangkan bola	Rabou||1
berteriak	shouted||3 yelling||1 holler||1 screaming||1
perlombaan Prix	Prix||1
jangkauan pelayanan Jamsosnas	coverage||1
Ferrer dikatakan	Ferrer||1
Kritik	Criticism||1
anak-anak putus sekolah anak-anak putus sekolah memilih bekerja genteng	tile||1
masuk akal kesehatan pegawai tuntunan bahkan asuransi sama sekali	employee-health||1
dinamai  Porkapolis 	Porkapolis||1
turunnya dampingan APBD pusat	APBD||1
meninjau	review||8 reviewing||2 reviewed||1
Di akhir	Late||1
Kathy menjawab	Kathy||1
melegenda	legendary||1
Arab 	Arabic||1
secara terus menerus dipakai	constantly||1
kanan	right||48
Perputaran	gyrations||1 turnover||1
kitab Raja-Raja	Kings||2
termasuk dalamnya	belong||1 includes||2
prosesi	procession||1
menanti Elim	Elim||1
efisien	efficient||59 effiecient||1 efficiently||12
beracun	toxic||8 poisonous||4
Program KUR	KUR||1
pembunuh kalangan	killer||1
Masalah tentang kata-kata diucapkan dibahas sebagai bahan Efesus	Ephesus||1
prinsip	principle||41 principles||17
juta bentuk	million||1
Dikompilasi	Compiled||1
Anak Adhi	Adhi||1
Aktifnya investor asing	investors||1
bagi inspirasi	inspiration||1
pegawai tidak diidentifikasi	unidentified||1
Walau	Though||3 While||7
aturan-aturan ketat parlemen aktif	rules||1
Meskipun demikian mempunyai konotasi	connotation||1
Coyne bertutur	Coyne||1
Untuk belanja sangat belum sampai	Expenditures||1
kita kepada-Nya	Him||1
Dia berinteraksi	interacts||1
membekukan tingkatan	freezes||1
menerbangkan balon udara	ballooning||2 balloon||1
Womens and Childrens	Childrens||6
melakukan rutinitas	routine||1
diperhatikan	attention||10 noticed||3 note||1 consideration||2
Pajak Jakarta Rabu	Tax||1
insentif sebagai	incentives||2
kelompok tujuan	objectives||1
bisa menembus	penetrate||1
Perbendaharaan Kas Negara KPKN	KPKN||1
takkan	not||3
Sama sekali ungkap Sonny	Sonny||1
persiapan matang	preparation||1
sirkulasi pendingin	circulation||1
draf Jangka Menengah	Medium-Term||1
mempertahankan kedudukan urutan tim urutan ketiga	third-placed||1
kami kata Zhu	Zhu||1
Time	Time||22
membunuh Windows XP cara	XP||1
Melayani	Serving||1
aksi kekerasan	violence||3
Diagnosa	diagnosis||1
diperoleh studi Bangladesh negara-negara	Bangladesh||1
Artikel menyebutkan	article||1
abad belakangan	centuries||1
Power Power	Power||1
perseribu	thousandth||1
Musuh terbesar hewan pemakan semut	anteaters||1
laporan Jones	Report||1
dibuatnya Konsensus	Consensus||1
Dengan modern	Modern||1
Menyerahnya	Surrender||1
serikat pekerja	union||7 unions||1 guild||4
diseluruh	throughout||4
menerapkan prinsip-prinsip	principles||1
test dikte	dictation||1
pembagian hasilnya	sharing||1
lokasi keberadaan polindes	polindes||1
rangkaian tes	tests||1
lancang mulutnya seperti tikaman pedang	sword||1
Al-Khalifa	Khalifa||1
Bilbo Baggins agak	Baggins||1
jejak kaki harian setempat	footprints||1
kekebalan terbatas terhadap anemia sel	immunity||1
pula halnya Kelautan kelautan belum tergali meskipun	Maritime||1
limau	lime||4
Batasan	restrictions||1 constraints||1
pembimbing	mentor||1
adalah berada adam	adam||1
sehat sendiri	healthy||1
Ketika tergantung	Hanging||1
terhadap guncangan	shocks||1
diberlakukan terhadap hasil kunjungan	visits||1
kopi kopi	coffee||2
pendisain	designer||1
yakni pekerjaan	works||1
kosong ada gurunya	empty||1
landas secara tegak lurus tempatnya	vertically||1
prihatin keadaan stadion JJB	JJB||1
menunjukkan besarnya	indicate||1
hingga titik distribusi titik distribusi	distribution||1
jawaban jawaban justru berkaitan	answer||1
memasukkan Chaudhry	Chaudhry||1
pertandingan tepat Dragutinovic	Dragutinovic||1
tersedia banyak taksi taksi	taxi||1
melorot	dropped||1 slipped||3
menerima pemasukan lungguh jumlahnya tidak sedikit	lungguh||1
pengalaman pelajaran	lessons||1
panduan	Guide||1 guidance||5 guidelines||17 guide||8
pihak Pakistan	Pakistan||1
ya bergabunglah menyelamatkan	rescuing||1
Excalibur milik	Excalibur||1
layak sini	worthy||1
Resources keterbukaan informasi ke	Resources||1
sebuah tanggapan	response||1
si bocah	boy||1
jejaring online berbagai maupun putusan-putusan tiap-tiap perkara berkurangnya bantuan	aid||1
penerima SLT	beneficiaries||2 recipients||1
strata berbeda pendistribusian kepada strata menyita	strata||1
dan dan dan	and||10
Isu-isu lanjutan	Further||1
Memperpanjang	Extending||1
melambaikan tangan	waved||2
negara nuklir	nuclear||1
transmigrasi begitu marak	transmigration||1
Aktivitas desa	Village||1
perlu banyak	much||1
dijalanan berbincang-bincang aneh ataupun	whimsical||1
Pribadi paling kita	strongest||1
nonya banyak	nonya||1
Dianggap	Regarded||1
masih rendah menyebabkan berpendidikan	educated||1
memelihara ternak	livestock||1 cattle||1
setelah peningkatan	rising||1
Apeksu didukung	Apeksu||1
Api suci 	fire||1
peminjaman	lending||14 borrowing||3 borrowings||1 loan||4
Para oposisi juridis	Opposition||1
mengenai dikotomi kalangan	dichotomy||1
Manzano menghantarkan	Manzano||1
Sejauh perbaikan	corrections||1
penetapan kuota jumlah kuota	quota||1
acara-acara menampilkan	featuring||1
elegan	elegant||10
Rusia	Russians||5 Russian||58 Russia||1
waktu khusus	times||1
kartel menekan	cartel||1
Dunia Dunia	World||1
harian menyatakan siluman	stealth||1
kebakaran	fire||16 fires||5 burning||1
serta pelaksanaan Itar-Tass	Itar-Tass||1
Larriva melaksanakan tugasnya	Larriva||1
jalan-Nya selalusetiap saat tepat kena sasaran	time||1
Semenanjung	Peninsula||8 peninsula||1
ditimbang	weighed||3
Usaha Mikro Kecil badan	entities||1
APS Australian Partnership Scholarships	APS||1
bersamaan	simultaneously||4 together||7 same||26 altogether||2 along||1 coincide||1 Along||1
kelancaran pembayaran	repayments||1
berperan besar membentuk	shape||1
ditemukan USDRP	USDRP||1
Mempelajari secara seksama	Carefully||1
kontingen	contingent||6
pernikahan dilaksanakan berkebangsaan	marriages||1
Serangan paling mematikan	deadliest||1
Patriotik didominasi orang Tutsi	Patriotic||2
buang	dispose||2 dump||1
pesisir/kepulauan	archipelagic||1
bersumber Pancasila serta tertatanya	Pancasila||1
sekali-sekali	occasionally||1
Upaya antara lain dilakukan segenap lapisan	Attempts||1
karena aksi kamikaze menjaga kehormatan diri Dan aksi Kedua	Kamikaze||1
Penutup cangkir digunakan	Lids||1
Frekuensi	Frequency||1 frequency||4
berjuang melawan	fighting||1
dikhianati	betrayed||1
pemegang diberitahukan	holders||1
berkualitas	qualified||4 high-quality||6 quality||80
sebetulnya tidak disengaja	accidental||1
dikelola secara	managed||1
membaca senang	reader||1
bertemu Taliban	Taliban||1
besaran PDB Indonesia	GDP||1
mencocokkan	match||2
satu berbanding	one||1
agunan agunan berupa	collateral||1
jumlah penduduk besar-besaran	population||1
kepuasannya	satisfaction||2
ketinggian rendah	low-altitude||1
madunya selalu mengejek imam	taunting||1
buruh buruh	laborers||2
mama	mother||1
pengawasan antarteman	supervisory||1
pengetatan	tightening||2
tumbuh	grown||13 grew||44 springing||1 expanded||3 grows||4 peform||1 growth||6 sprout||1 growing||18 grow||42
Potito stasiun	Potito||1
pengungsian	evacuation||1
fokus upaya tertuju ranah fasilitas kebutuhan	focuses||1
memiliki kesempatan tetapi	chances||1
Aneka peralatan	Tools||1
Empowerment and	Empowerment||8
instruktur sebagai pemberi	instructors||1
Karawang Karawang	Karawang||1
Para pelajar	Students||1
harga bagus untuknya 	price||1
sedang mesin pencuci piring	dishwasher||1
acara kumpul-kumpul	gatherings||1
Platon Lebedev	Lebedev||1
Talcott said	Talcott||1
responden memanfaatkan	respondents||1
unsur portofolio yaitu	elements||1
para petugas	officials||6
Desa Mriyunan konsekuensinya sosialekonomi	Mriyunan||1
Hal karena ketika distribusi rumah tangga penerima belum tentu	Distribution||2
mengurangi tenaga kerja sistem aeronautical	Aeronautical||1
firma swan	swan||1
menit menjelang pertandingan	minutes||5
mengoreksi	correct||3
Maois	Maoist||4 Maoists||1
Strasbourg laga	Strasbourg||1
core fund giro	clearing||1
dokter mencakup Waingapu ibu	Waingapu||1
pelari	jogger||1 runners||1
prasarana sarana prasarana	infrastructure||1
pembangunan berbagai	construction||1
aspek pembagian	distribution||1
secara berbeda antara	differently||1
mencari menonjol	landmark||1
subsidi pemerintah	subsidies||1
daerah Grishk	Grishk||1
chingay dibagi bersama	chingay||1
pidato matang	speeches||1
Prix merupakan putaran	Prix||1
thomas	thomas||1
Desa Mundu	Mundu||12
ditukar hasil pungutan	exchanged||1
Konferensi pers itu mengenai stenting	stenting||1
sebagai antisipasi	anticipation||4
mencobanya	try||3
keluar lapangan	off||2
set Mirza minta dihentikan	Mirza||1
asalkan benar-benar masuk kas daerah	treasury||1
sering mengkritik	criticizes||1
mengeluarkan sereal	cereal||1
lebih lebih tinggi	higher||1
suatu saat membahagiakan	someday||1
alih-alih	instead||11
turnamen Ryder	Ryder||1
Hentikan	Stop||3
dua Hoffenheim	Hoffenheim||1
para pengamat	observers||5 watchers||2
Pada dasarnya tuntutan kebutuhan menambah	Basically||1
izin usaha izin	license||1
nasional	nationwide||3 National||4 Domestic||1 nationally||5 nations||12 national||515
membuat kita kewalahan	overwhelming||1
mikroprosesor	microprocessor||1
Mengembangkan perpustakaan hukum	libraries||1
Sang ayah	dad||2 Dad||1
tahap tahap tahap	stage||1
Tampilan blog dianggap	blog||1
sektor-sektor	sectors||17
tetapi penjaga gerbang ibu ini sopan	politely||1
stimulan	stimulant||2
tulang-tulang	bones||2
Kemudian cabe	chili||1
lembah keputusasaan	valley||2 despair||1
transportasi menuju	transportation||1
mencegah agar	prevent||1
selasa	Tuesday||10
tingkat memasukkan metode-metode	incorporating||1
mencantumkan kata kasih karunia Kasih	mercy||1
rasio murid per guru	ratio||1
cost effective hemat biaya model pangan pola price subsidy	models||1
kemutlakan	absolute||1
biaya fee income	fee||1
kuesioner	questionnaire||39
keadaan baik	good||1
ankylosing spondylitis	spondylitis||1
kilogram tempat	kilos||1
India PTI	PTI||1
kuasa-Nya menakjubkan	awesome||1
Namun para pekerja keras sifat	hardworking||1
Marilah mengucap syukur	Let||1
secara sempurna	perfectly||3 flawlessly||1
Jalan	street||1 road||10 way||1 Roads||5 The||4 Road||3
tantangan dihadapi nanti	challenges||1
Desa Susulaku	Susulaku||2
yaitu satu	one||1
Sekolah gratis menjadikan anak-anak mempunyai	Free||1
Karena rotan	Rattan||1
masa lalu 	past||1
informatif	informative||5
Kitson membawa	Kitson||1
alot	tough||5
mengalami sedikit penurunan	modestly||1
didahului	preceded||1
Akhir-akhir ini	Recently||5
kantor Xinhua	Xinhua||1
mempertajam secara menyeluruh	sharpening||1
Kereta	train||2
menerima tuduhan palsu	falsely||2
Keterlambatan penerbitan mengeluhkan lambatnya	Delays||1
Ayat-ayat	verses||2
tertulis WDJD	WDJD||1
anda funan mall sim square termasuk	funan||1
terjadi manusia	humans||1
April bulan	April||1
laos	galangal||3
menyentuh	touches||1 hit||3 reach||4 touched||9 touch||10
kata Jurubicara	spokesman||3
pun penderitaan sedang	suffering||1
menyatakan menyatakan	stated||1
c jelas	c||1
dadanya	chest||5
dasar dimilikinya didorong merumuskan berbagai peluang mencari	locate||1
sumur gali	wells||1
Menulis	Writing||2
pun memperhatikan kalian kerjakan	noticed||1
masuk rumahsakit	hospitalized||1
akun brand Hedges	Hedges||1
misalnya keliling	mobile||1
Berahan berbuntut tuntutan	Berahan||1
berbahasa Nepal Kantipur	Kantipur||1
Khan	Khan||20
tamu kelaparan	guests||1
jalur pelaksana tingkat nasional	channels||1
bahan peledak	explosive||7 explosives||12
antaranya dikompensasi	compensated||1
Khas	Typical||1
Espanyol	Espanyol||13
Tseng mengawali permainan	Tseng||1
melarang semua	barred||1
cut-off point	cut-off||5
Biboki berperan menyampaikan kegiatan	Biboki||1
kulakukan untukmu	you||1
Skuad	squad||1
Goals MDGs	Goals||1
terlarang jarum suntik	needle||1
pencucian	wash||2 laundering||7
disusul kemudian ketetapan Teknis	Technical||1
Taye Taiwo mempertahankan sedang	Taye||1
menghasilkan mampu mencapai target-targetnya	generate||1
Serikat ditempatkan	deployed||1
terlebih dahulu	first||12
Partai	Party||58 party||4
alamiah	natural||8
Blanco lah	Blanco||1
dampak krisis krisis	crisis||3
memenggal	beheaded||1 decapitated||1
empat bulan	four-month||3
ilmu pengetahuan ilmu pengetahuan ilmu pengetahuan	science||1
jaringan membutuhkan	tissues||1
Akulah	I||2 am||8
warga 	people||1
Moammar pendapat guna mewujudkan	Muammar||1
ketidakpedulian atas	disregard||1
claimants mengundurkan	claimants||1
tinggal selamanya	stay||1
sempit terbatas	limited||1
dilucuti	stripped||3
bubur kertas	pulp||7
Gasquet bawah undian	Gasquet||1
Kecenderungan terhadap masih kurangnya ketersediaan wilayah penelitian	area||1
Tidak ada satupun ketiganya	None||1
Vink bertindak memberi tahu	Vink||1
diawasi	monitored||2 overseen||3 supervised||7 watched||2
studi lebih lanjut	study||1
voli	volley||3
kepala/aparat	head||2
KKB KKB	KKB||1
cenderung lebih suka	prefer||1
menghormati seruan	honored||1
daerah	Regions||2 Local||4 neighbourhood||3 County||2 district||40 area||124 Regional||9 isolated||3 regions||329 territory||5 local||179 regional||267 provinces||3 areas||208 region||183 districts||18
evaluasi program	evaluation||2
proses pengumpulan maksimal	collecting||1
protes disertai ancaman	threats||1
Story namun	Story||1
terbesar ketiga memiliki	third-largest||1
ingin	wants||1 wanted||1
sungguh tidak terbayangkan Sang	unimaginable||1
didokumentasikan	documented||1
api	flames||1 fire||25 fires||2 flame||2 blaze||1
Bom bunuh diri menggunakan	Suicide||1
menghindari agar	prevent||1
Pengusulan peraturan lokal menyeru	ordinance||1
Komitmen	commitments||2 Commitment||13 commitment||8
Penanggung	Lead||1
baca	read||9 reading||2
Itu	That||2 This||14 It||1 Those||3
orang matematikawan terkemuka para	mathematicians||1
Pemasaran	Marketing||8 marketing||1
membangun roket meluncur	rocket||1
Ezra memperoleh menyertai	Ezra||1
Harwell tokoh	Harwell||1
Syiah kawasan	Shiites||1
Azusa malah Azusa	Azusa||1
orang-orang benar	righteous||2
perahu motor	motorboat||2
Klinik Gigi Dokter Gigi RSU Zainoel Abidinyang sempat kini	Dentist||1
London	LONDON||2 London||1
Nopember	November||9
insulin agar sesuai dibutuhkan	insuline||1
regulasi dikeluarkan	regulations||1
lainnya	rest||15 Other||48 another||102 other||997 Others||2 else||1 others||99 Another||23
pemain tidak diunggulkan	unseeded||3
para pembaca	readers||4
Dipimpin the of Korean perbatasan hukum diajukannya	Led||1
dinasti tang	dynasty||2
meletus	started||2 began||3 erupt||1 erupted||12
cemerlang	bright||3 shining||1
umumnya cenderung	inclined||1
melainkan masalah kata	issue||1
begitu jujur	honest||1
memiliki tambahan	owning||1
saling mengasihi	love||4
menurut laporan of PTI	PTI||1
Prancis	French||93 France||85 Frenchman||10 Frenchwoman||1
the Americana	Americana||1
Tema	theme||8
lebih lama	longer||33
rumah penduduk	houses||1
Wa Macmillan	Macmillan||1
Komite Pemberantasan Korupsi	Anti-Corruption||1
masa depannya	future||4
konseling media	counselling||1
ungkapan	expression||1
ekspansi bisnis	expansion||1
Street 	Street||2
murid-murid 	students||1
INSTITUSI	INSTITUTIONS||1
saling bertukar	exchanged||1
and dine	dine||1
mencap	branding||1
kuota peserta	quota||1
Rencana Aksi Stranas	Stranas||1
film film	movie||1
penyumbang terhadap kontribusi	contributor||1
laptop	laptops||8
pemeliharaan perdamaian	peacekeeping||2
hak kepemilikan Blok Blok Blok A	Block||1
dari gratis dari jumlah keluarga	free||1
Para responden sekitar mengikuti	Respondents||1
penghiburan derita	comfort||1
bagaimanakah kita masih dapat dalamnya	it||1
Mengapa berbuat	Why||1
dalamnya termasuk	included||1 includes||2
Dynamic	Dynamics||2
calon asesor	candidates||2
lewat Ontario	Ontario||1
pelaksanaan portofolio pelaksanaan	portfolio||1
tingginya ketidakpuasan atas undang-undang tercermin kenyataan atau berselang diterapkannya	dissatisfaction||1
membuat perencanaan Wakayama	Wakayama||1
pemusnah	destruction||2
kelapa sawit mulai	palm||1
barang-barang kepemilikan sudah lusuh	shabby||1
