mendemobilisasikan	demobilize||1
dikompilasi	compiled||1
paling besar sebagian besar	most||1
serbuk sari	pollen||1
keputusan lainnya	other||1
pemberantasan	eradicating||1 eradication||1
para penganut garis keras disingkirkan	hardliners||1
kemungkinan adanya pengaruh proyek	possibilities||1
mendapat pemeriksaan ct	ct||1
kata sugiyama	sugiyama||1
murid negara oecd	oecd||1
menganggap sangatlah bodoh	foolish||1
brazil marcelinho	marcelinho||1
kantornya	offices||1 office||1
memang ada banteng	bull||1
menyatakan menghalangi perpindahan	said||1
bubungan bait suci	temple||1
promenade pertengahan bulan februari area	promenade||1
organisasi indonesia	organisations||1
hebatnya banjir	floods||1
india iaf rabu	iaf||1
as as	us||1
terbang tinggal	flying||1
nama nos	nos||1
angkatan kerja bekerja sektor perdagangan sebagaimana	workforce||1
pertolongan pertolongan diberikan	help||1
dirasa sangat membantu	helpful||1
dilaksanakan angka-angka indikator terbaru	latest||1
berdasar memulai craf-cassini	craf-cassini||1
menggelisahkan ahli-ahli taurat	scribes||1
prevalensi	prevalence||1
belahan	hemisphere||1
lawan soderling	soderling||1
asosiasi	associations||1 association||1
berdoa supaya	pray||1 prays||1
angka pengangguran berkurang jadi angka inflasi	unemployment||1
perancang amerika	americans||1
trje sebuah perusahaan	trje||1
liquid	liquefied||1
contact mengembangkan sebagaimana	contact||1
pencobaan ada	trials||1
setengah lusin	half-dozen||2
sangat dibutuhkan agar terjalin koordinasi baik	coordinating||1
sejumlah rusak	damaged||2
aha kalau	aha||1
jaringan mengumpul	tissues||1
libya yaman	libya||1
kedokteran	medicine||1 medical||1 doctoral||1
meninggalkan skandal	scandal||1
materi materi	material||1
menurut ruslim	ruslim||1
terjadi merata	evenly||1
jalur lain melalui	channels||1
memang kesunyian	silence||1
serangan periodik	periodic||1
pun meningkat fgd masyarakat	community||1
indonesia appsi pengusaha indonesia	appsi||1
sampai menimbulkan	trigger||1
kantor berita prancis afp pihak	afp||1
memahami betapa	grasp||1
gempa bumi gempa	earthquakes||1
masa suram mendapatkan donington	donington||1
dilembagakan secara	institutionalized||1
firma-firma	firms||1
pandangan pandangan	view||1
umumnya biasanya	usually||1
produk esp mewakili	esp||1
anti lapis baja	anti-armour||1
klasemen sementara liga prancis	ligue||1
dibiarkan	left||7 allowed||5
terbentuk	composed||1 established||1 formed||1 constructed||1
sabar	anger||1 patience||1 patiently||1 patient||1 wait||1
sabat	sabbath||1
dokumentasi ataupun	documentation||1
makanan	food||5 nourishment||2 diet||1 meal||6 foods||14 dietary||2 foodstuffs||2 dish||6 meals||8
persetujuan mendapatkan	approval||1
pemerintah inggris	britain||1
berisi	loaded||1 contained||1 contains||1 containing||1 contain||1
nama	named||1 name||1 behalf||1 names||1
pemerkiraan	estimating||1
rumah tangga miskin raskin	raskin||1
rumah sakit rumah sakit	hospital||1 hospitals||1
kredit bermasalah jumlahnya ekspektasi	npls||1
maranatha juara	maranatha||1
taspen pensiun	taspen||1
berserah	surrender||2
zafaraniyah berpenduduk	zafaraniyah||1
kecepatan	pace||1 speed||1 speeds||7 velocity||1
bi bank indonesia	bi||1
sawit cpo	palm||1
minyak tanah	kerosene||1
negara negara	countries||1
jian dui	dui||1
logam rutenium	ruthenium||1
proporsional berdasarkan	proportional||1
liburan mengesankan	vacation||1
keras paket genetik hidup kini	packet||1
akibat bursa merosotnya	bourse||1
setiap orang menghendaki agar perencanaan kita maka	anyone||1
ada captions and subtitles	subtitles||1
sibuk	preoccupied||1 rush||1 busy||1 busily||2 occupied||1
perjalanannya kompetisi	championship||1
mampu menyamakan kedudukan	equaliser||1
biaya/iuran	costs||2
tambang	mining||1 mine||1 mines||1
faksi taliban	taliban||1
beberapa duduk	sat||1
unsur pembuat menikah dewasa serta makin	marrying||1
tanggung renteng	responsibility||1
orangtuanya orang	parents||1
corporation mitsubishi	corporation||1
bidang transplantasi	transplantation||2
forum niat	forum||1
unit usinor tenaga	usinor||1
memberi kartu kuning kepada	guaratingueta||1
jalani baik lakukan sendiri menunjukkan pengabdian sepenuh	devotion||1
depan house ways	ways||1
reed saat	reed||1
sedang berkhotbah	preaching||1
dikalikan	multiplied||2
hal sebaliknya	contrary||1
mendapat perhatian	attention||1
tingkat yaitu	levels||1
etanol	ethanol||1
rumit mencari	seeking||1
kebutuhan orang asing jasa	foreigners||1
hadir tanpa pemberitahuan	unannounced||1
didikan	instruction||2
celah kepompong	slot||1
meminum minuman	drink||1
juara tinju kelas berat sebanyak	heavyweight||1
kereta-kereta	chariots||1
orang lelaki	men||1
sedangkan klasemen bundesliga	bundesliga||1
didiagnosa mengidap	diagnosed||1
menyiapkan sarapan	breakfast||1
halnya menembak	shooting||1
bisnisnya	business||12
seberat	weighing||1
sempat merasa	feeling||1
digolongkan triple-a	triple-a-rated||1
operasinya sembuh	healed||1
dokter kandungan	obstetricians||1
pelajaran indah	lesson||1
aksi protes berlangsung	protests||1
menu kaiseki membuat	kaiseki||1
dana australia	australia||1
besaran pdb indonesia	gdp||1
nt pola	nt||1
pusat kota	downtown||14
setelah minggu	sunday||1
shin tapi jin	shin||1
kesombongan si	arrogance||1
terpaut angka	points||1
bentrokan menelan korban tewas	deadly||1
temu menyeluruh	thorough||1
pengeluaran belanja	expenditures||1
berlaku transparan	transparent||1
sampai masa perjanjian	covenant||1
bengkak luka dalam	swells||1
anderson	anderson||1
daerah ditemukan sepersukuan buhua	buhua||1
dijadikan alasan	reason||1
para pemrotes	protesters||1
komputer saat	current||1
hinggap	rest||1
bethune waktu persiapan	bethune||1
fotografis perusahaan	photographic||1
tubuh kunang-kunang melepaskan	firefly||1
para paduan suara	choir||1
alam	natural||1 nature||1
sebelumnya kecolongan membuat alemannia	alemannia||1
puisi	poem||1
alat	apparatus||2 organ||1 equipment||1 instruments||6 tool||1 means||12 devices||1 instrument||1 device||23 tools||13
bernama mosovitch kali	mosovitch||1
memberikan penghormatan	tribute||1
baik kalangan	both||1
preventif	preventive||3
sanggup	able||1 capable||1
memenuhi kewajibannya membayar	paying||1
seru	exciting||1 exclaims||1
pun jatuh	fallen||1
diundang pas	invited||1
rahim semang 	womb||1
penyelesaian tentang sistem akuntansi perbankan senin	completion||1
kencing usus	duodenal||1
atas taraf eksperimen tahap	experiment||1
kuesioner	questionnaire||39
seri	series||21 serial||2 serie||3
sekolah bantuan	schools||1
tidak adil kalau	unfair||1
merestui omong kosong disebut sebagai	claptrap||1
brompton and and	brompton||1
jamkesmas atau memiliki pengaruh	jamkesmas||1
terjadi seluruh	across||1
zoumana beberapa saat	zoumana||1
masyarakat mewakili	representing||1
perintah resolusi suara dimana	vote||1
spesialis dimasukkan	specialists||1
fan atletico	atletico||1
menangi	won||3
pensiun jamsosnas dibagi	divided||1
mematuhi	adhere||1 abide||1 comply||1 obey||1
sistem suatu hari	someday||1
ketepatan target penerima manfaat	targeting||2
opsi	options||1 option||7
dipilih	named||4 chosen||77 selected||85 designated||1 preferred||3 elected||12 choose||2
klik	click||1
mendapatkan mengecewakan	disappointing||1
kebakaran hebat	wildfire||1
komersial	small-||1 commercial||1
kasus penculikan terkait	kidnappings||1
nasi mundo	mundo||1
makin pun semakin	increasingly||1
orang basque	basques||1
selain pertimbangan pemilihan pertimbangan lainnya	consideration||1
dapat dibandingkan	comparable||1
gereja kami	church||1
klip	clip||1
aspek	aspects||6 aspect||1
ketidaknyamanan merasa tersentuh	discomfort||1
studi tatanan sediakala arsitektur	architecture||1
terlarang alkohol	alcohol||1
sekedar masuknya	entry||1
distilasi	distillation||1
layanan ktm ini	ktm||1
judul saja	titles||1
ada langit	heavens||1
menang 	win||1
bank bank bank	banks||1
tendon	tendons||1
berada kota kecamatan	subdistrict||1
perlu disadari semua bermula piring kita	plates||1
wilayah	county||1 borough||1 zone||1 district||1 area||1 region||1 teritories||1 regions||1 territories||1 territory||1 border||1 counties||1 areas||1
perjanjian-perjanjian	deals||1 agreements||1
lewat tembakan frederic	frederic||1
pengorganisasian jualan tradisional perlu dilakukan	organizing||1
status janda sendiri	widows||1
kepuasan penerima	satisfaction||1
kitab ratapan singkat masa perkabungan	lamentations||1
mechanism) mudah manfaat optimal	optimal||1
kalau gudang	warehouses||1
tahunan konsolidasi	annual||2
entah bagaimana	somehow||1
peserta lelang	bidders||1
pertandingan berakhirnya pertandingan	stoppage||1
dua dua	two||1
layak bank agunan mengembalikan pinjamannya	bankable||1
ruang sidang	courtroom||5
runner-up setelah	runner-up||1
pejuang para pejuang	fighters||1
) daya tariknya	lure||1
bagian menarik tripitaka chamber	tripitaka||1
dahi korban kematiannya diakibatkan oleh kegiatan	forehead||1
upaya menurunkan	reducing||1
agar menyerah	surrender||1
tujuan burung	goal||1
whittaker diwarnai	whittaker||1
caygill berang atas ide	caygill||1
serikat-serikat buruh	unions||1
kelenjar-kelenjar pencernaan	digestive||1
permintaan suaka pemerintah	asylum||1
dia katalis logam-logam	catalysts||1
raja damai tengah mulai menerapkan	peace||1
mengoperasikan	operate||1 operating||1 operates||1
dia berinteraksi	interacts||1
harfiah	literally||1
dikecam	slammed||1
sang hamba menderita telah telah	servant||1
medan pertempuran	battleground||1
pandangan dasarnya	perspective||1
tuhan daud	lord||1
disebut-sebut menutup	blocked||1
permainan sebenarnya	match||1
masak	cook||1
kita berhadapan amarah	anger||1
faktor paling	factor||1
penyelenggaraan	implementation||1 holding||1
penerimaan negeri	domestic||1
april burhanuddin	april||1
berusaha membuatnya lebih menguntungkan	favorable||1
salafiyah tampaknya	salafiyah||1
sangat sebut matuschka	matuschka||1
sektoral	sectoral||17
menepis buruk	debunk||1
biaya melebihi plafon	exceed||1
penerapannya biomassa 	biomass||1
pejabat kebijakan	officials||1
colantuono menjalankan tugas	colantuono||1
termasuk kelompok keluarga kaya	rich||1
secara internal	internally||1
saat waktu	time||1
debunya menyalakan langkah kaki	footsteps||1
mengunjungi sampel	visited||1
perilaku menabung ekonomis suatu rumah tangga	households||1
kebun binatang hanyalah contoh	zoo||1
keharusan	necessities||1 requirement||1 having||1
menjelaskan	disclose||1 explaining||15 clear||8 said||27 describing||5 resolve||1 explanations||1 explain||61 explained||40 describe||10 articulate||1 clarify||2 describes||13 clears||1 elaborate||10 explains||33 explanation||1 clarifies||1
lapangan permukaan tanah liat	clay||1
musuh 	enemies||1
persepolis tehran	persepolis||1
laga liga negara	league||1
kaum biologi	biologists||1
menjengkelkan sudah memberi	frustrates||1
tetapi apa katamu siapakah	who||1
secara politis sulit tersentuh cenderung	politically||1
miliki melakukan analitis	analytical||1
sadar pak	sir||1
tangannya	hands||1 hand||1
mengakui menyampaikan	acknowledged||1
dikunjungi	visited||1 visit||1
pengawasan	monitoring||1 supervision||1 surveillance||6 supervise||1 supervisory||1 supervising||2 scrutiny||2 oversight||1
tunjangan profesi terhitung	allowance||1
pemain lapangan sekitar	pitch||1
khurmatu pusat perminyakan	khurmatu||1
sangat besar besar	enormous||1
mekar	bloom||1
perusahaannya kegiatan sponsornya (sponsorship) atas	sponsorship||1
tema tema	theme||1
federal	federally||1
krisis melibatkan	involves||1
transformasi anaknya	transformation||1
cassel	cassell||1
kesulitan mendapatkanmu	trouble||1
pengadaan vaksin di hal juga terjadi	vaccine||1
anggaplah sebagai	consider||1
secara keseluruhan disusun halaman luas	courtyard||1
diingat seakan berjalan tanpa masalah	remember||1
mengatakan 	said||1
bagaimanapun	nevertheless||1 still||1 however||1 anyway||1
prasyarat mendapatkan	prerequisite||1
turbin disel	turbines||1
istri	wives||1 wife||1
mengungkapkan penuh melalui seperti kejelasan regulasi amdal mengorbankan aspek	sacrificing||1
bisa lancar berkomunikasi	communicate||1
seorang interior decorator	decorator||1
rata-rata pembayaran	average||1
lipid agar tetap	lipid||1
beraneka ragam eksotis	exotic||1
sebenarnya hampir	virtually||1
aset miliki	assets||1
anggota lingkup lingkungan etnis	ethnicity||1
melapor	report||1 reporting||1
mattu kepada manusia	mattu||1
berserah kehendak	surrender||1
purnomo menyebutkan	purnomo||1
menggoda	tempting||1 seduce||1
lintang	latitude||1
program jamsostek jamsostek	jamsostek||2
menabrak	colliding||1 collided||1 hit||3 collide||1 flew||2
mempunyai umr daerah mereka	umr||1
tanduk	horn||2
buruh kontrak menganggur buruh kontrak	contract||1
kerugian	loss||1 damages||1 losses||1 damage||1 deficit||1 disadvantage||1
triliunan	trillions||2
suara tembakan	gunfire||1
pon	pound||1 pounds||1
keuangannya gmac	gmac||1
duta	ambassador||1
mengherankan	astonishing||1 surprisingly||1 surprising||1 wonder||1
dulu melapor menginginkan menjadi administrator full time	administrator||1
parlemen jerry	jerry||1
hasil penerimaan	outcome||1
lulusan sd	graduates||1
profesional dapat	professionals||1
pemrograman	programming||1
opec subroto menjelaskan	explains||1
grafis kriptografi maupun	cryptography||1
penyisiran gereshk atau bertepatan	gereshk||1
membutuhkan kredit ingin mengaksesnya sedang mengakses kredit	credits||1
kepada 'gesture' isyarat	gesture||1
memisahkan satu lain	separate||1
mempercayainya	believe||1
satu swank	swank||1
gasifikasi ini adalah sangat	gasification||1
termasuk kelompok kaya	rich||1
tentang kebaikan hatinya	kindness||1
meneruskan	continuing||1 continue||1 continued||1 forwards||1 reassume||1
menjebol gawang bastian merupakan	bastian||1
hanya skala kecil sehingga	small-scale||1
adalah malapetaka rakyat seraya membuka latar-belakang	calamity||1
bidang batubara	coal||1
pelacur kawasan	prostitutes||1
angkutan	transport||1
masedonia pandev	pandev||1
membawa peta	map||1
rusia rusia	russian||1
lahan lahan	land||1
tengah lumpur	mire||1
menteri urusan kepresidenan eugene	eugene||1
perunding jepang debat seputar	debate||1
melimpah ruah	abundant||1
sungai pemandangan indah	river||1
perundang-undangan ketat	strict||1
kelas-kelas rumah sakit deviasi nilai rata-rata	deviations||1
perubahan	amendment||1 amendments||1 swings||1 shift||1 changed||1 alteration||1 amends||1 modification||1 changing||1 difference||1 changes||1 transformation||1 change||1
organisasi bergerak	organisations||1
mempresentasikan	presented||1
dalang agen-agen	mastermind||1
kekacauan	turmoil||1 mess||1 disarray||1 chaos||1 extremist||1 clutter||1 disorder||1 anarchy||1
perkongsian	partnership||1
wom wahana ottomitra multiartha	wom||1
sedih	sad||1
kepalsuan	falsehood||1
membutuhkan membutuhkan membutuhkan	require||1
terutama tetangga	neighbors||1
embrio saya saat-saat	embryos||1
menyulap biomassa menjadi	modified||1
provinsi jabar	province||1
pasukan pekerjanya	force||1
bagi ada	there||1
penilaian masing-masing setiap	each||1
kerja sama penambangan antara antam pt. caraka berkat sarana	exploration||1
mengurus akta kelahiran kelahiran	birth||1
utama herald	herald||1
macet tengah	stalled||1
saldo	balance||1
diberdayakan	empowered||1
riil	real||1 growth||1 actual||1 reality||1
mengaitkan antara	linked||1
kejadian berantai	reactions||1
tyrannosaurus rex usianya	tyrannosaurs||1
pihak kontraktor	contractor||1
sementara madrid keduanya	madrid||1
tanzania jakaya	jakaya||1
perpustakaan sarana	libraries||1
dolar per dolar as per dolar as	dollar||1
pennsylvania	pennsylvania||1
di dalamnya	inside||1
secara kebetulan	haphazardly||1 accidentally||1
koleksi butik	boutique||1
melakukan lelang	auctioned||1
bersedia dibayar pembeli	buyer||1
cpis lebih banyak mengarah	cpis||1
tempat menyenangkan bagi ivy sejenis tanaman menjalar beracun	ivy||1
iskandriya	iskandariya||1
dokter anak kami	pediatrician||1
muba menegaskan	muba||1
anggota politbiro	politburo||1
bermitra	partnered||1 partnership||4
beaverton merek	beaverton||1
dikontrak poundsterling southampton	southampton||1
hujan lebat	rains||1 rain||1
alami penghibur	experienced||1
kualitas askeskin	askeskin||1
tim	teams||75 primera||3 squad||5 strugglers||4 team||2 the||2 sides||10 side||53
ekstrim	extremist||3 extreme||11
kebutaan	blindness||1
afrika 	africa||2
aksi gangguan	bullying||1
membungkus	packaging||1 wrapping||1
uji cobakan	tested||1
lama-kelamaan berevolusi kavaleri	cavalry||1
for agricultural (aciar)	agricultural||1
independen	independent||4 unitary||1
sumbangan	contributed||1 contribution||1 donations||1 contributions||1 donation||1
the independent	independent||1
komoditas 	commodities||1
lagi kalau mau ambil	anymore||1
membuktikan	proved||19 prove||39 verify||1 proving||2 proves||10 demonstrates||1 establish||2 shows||1
higuain masih berpeluang	higuain||1
holcomb yaitu boleh-boleh saja	holcomb||1
menyegarkan	refreshing||1 refresh||1
dihasilkan cavenaghi	cavenaghi||1
investama	investama||1
mulai memompa	pumping||1
hyang bersaing mereka 	them||1
tante	aunt||1
paradorn pernah menempati kesembilan	paradorn||1
universitas	universities||1 university||108
obat bius	drugs||1
terowongan sempit	corridors||1
berkorelasi negatif	negative||1
sedang melobi	lobbying||1
tetap rentan	vulnerable||1
lembaga non-bank koperasi	cooperatives||1
nissan	nissan||56
lebih lagi	moreover||6 more||4
khusus masyarakat tertentu	specific||1
anugerah keselamatan	salvation||1
kuambilkan minum cukup	drink||1
ingin tahu	curious||1
pendaftaran tanah ibukota (dki) daerah istimewa (di) propinsi	provinces||1
mengejar ketertinggalan	catch||1
grup department-store	department-store||1
paling banyak terkenal	best-known||1
infrastuktur irigasi	irrigation||1
karya mewakili	represents||1
orang prajurit	soldiers||1
peroketan kalangan	rocket||1
penalti wasit	referee||1
buah bumn	soes||1
diajukan daerah dpd	dpd||1
dokumenter	documentary||2
importir	importers||1
harus berhadapan piraeus	piraeus||1
seharusnya perbedaan memang berbeda namun justru memaksakan keseragaman secara	uniformity||1
malu pergi	embarrassed||1
tingkat inflasi	inflation||1
seorang penduduk asli	native||1
mati-matian	furiously||1
fleksibel agar lebih	flexible||1
salah tsp memiliki	tsp||2
katong surga	katong||1
hari rabu  thursday	thursday||1
luar negeri kabin kemudi	rudder||1
bersikukuh	insisted||1 contends||1 maintain||1
tentang pokok anggur ranting-rantingnya	vine||1
subsidi pemkot	subsidy||1
menjulur	stretch||1
dalam indofood	indofood||1
spektrometri	spectrometer||1
pembicara	speakers||2 speaker||1
menganalisis rentang tertentu	analyze||1
berman pensiun	berman||1
alasan pengawasan dilakukan	supervisory||1
secara terbuka	openly||11 publicly||10
september depan	september||1
stand	stands||1
tim bawah	bottom||1
lonceng menandai dimulainya babakan	bell||1
mengacuhkan	ignore||1
akal sebagaimana tugasnya masing-masing	consciousness||1
peraih	nobel||1
sedikit bagian	piece||1
bersedia	willing||1
meneriakkan semboyan kemarahan sementara	chanting||1
bilang janganlah terlalu jika berkenalan orang asing	strangers||1
keluarga-keluarga ada rw	rw||1
ketidakstabilan berada perdagangannya	volatility||1
mumi berusia ribuan tahun merupakan	thousand-year||1
asam asam maka	acid||1
pengaduan terkait	complaint||1
dunia kedokteran	medicine||1
pengembang	developers||1 developer||1
adalah investor 	investor||1
barang cetakan keterangan legalisasi surat-surat	printed||1
putaran pertama	first-round||11
ulangan pimpinan sikap takut maupun kasih	deuteronomy||1
pokok	prime||1 primary||1 basic||1 main||1 staple||1 principal||1
for studies	studies||1
menelaah	review||1
saham jakarta	shares||1
terencana	planned||11
luasnya ukuran	size||1
djokovic	djokovic||22
ahmedou	ahmedou||1
sekolah sekolah-sekolah	schools||1
peluang berbahaya tetapi	chances||1
kprs kredit pemilikan	kprs||1
kemitraan australia-indonesia	partnership||4
jika bertanyasiapakah anda	you||1
kaum muda	youth||2 youths||1
kembali tidak terduga	unexpected||1
semangat	passions||1 gusto||1 encouragement||1 morale||1 vigour||1 passion||1 fervor||1 enthusiasm||1 passionate||1 spirit||1
memiliki hikmat	wisdom||1
jelajah	cruiser||1
besar lebih	larger||1 greater||1
jameel poverty	jameel||2
berkecambah	germinated||1
mengobarkan	wage||1 inciting||1
politeknik	polytechnics||1 polytechnic||2
petani termasuk	farmers||1
secara	regularly||1 a||2 illegally||1 year-on-year||1 thoroughly||4 overall||5 sudden||1 in||196 by||3
meningkatkan membawa arus	current-carrying||1
interaktif peta	map||1
kemungkinan menurunkan suku	lowering||1
tentang	on||1 regarding||1 concerning||1 about||1 of||1
berombak	choppy||1
kerangka sheetrock per per yard	sheetrock||1
ayah memahami	understood||1
pasti merakit bagian demi bagian mainan	exactly||1
non-finansial	non-financial||1
keterlibatan	engagement||1 involvement||5
umat	people||1
bercak-bercak bersumber air ludah penguyah setiap sudut sekali dibersihkan	spittle||1
chubb berada	chubb||1
pendekatan generasi	generation||1
bertopeng	masked||1
perayaan penutupan	closing||1
mengetahui sangat	aware||1
ivanovic bola bagus	ivanovic||1
benua jadi manapun	continents||1
sejalan makin tingginya makin melampaui gencar dikedepankan	surpassed||1
gravitasi gaya tarik bumi	gravitational||1
skala magnitudo mengguncang meteorologi	meteorological||1
hasilnya itu	result||1
konsentrasi belajar	concentration||1
pidatonya	speech||1
tentu patut	surely||1
rasanya hanya	only||1
kufuor	kufuor||4
menghindari pada substansial pendapatan tersebut 	gain||1
kemudian disusul	followed||1
berdasarkan anti teror	anti-terror||1
kumpulkan karakteristik rinci kepala	characteristics||1
al-qaeda	al-qaeda||1
persaingan terjadi	competition||1
nilainya as ongkos	us||1
beberapa antara	among||1
luar pajak	taxes||1
menyaksikan voyage	voyage||1
jasa layanan	service||1
cocok layak	suitable||1
asupan proteinnya	intake||1
biaya terbatas	limited||1
berbatov dinobatkan	berbatov||1
telah mempunyai reputasi baik	reputation||1
para kandidat kepala daerah	candidates||1
mencatat angka	recorded||1
bisa pemahaman indonesia mengenai aspirasi sama terbit aspirasi	aspirations||1
bawaan	congenital||2
lemah setelah	shaky||1
para pimpinan	leaders||1
bapa	father||1
kebaikan	good||1 kindness||1 goodness||14
memberikan penghiburan	comfort||2
bilbao melawan	bilbao||1
larut	soluble||1 dissolve||2
lewin saja peristiwa	lewin||1
biro/bagian	bureau||1
sempurnanya	perfect||1 flawlessly||1
informasi	information||1 informed||2
kamis malam	overnight||2
paulus diinspirasikan allah kepada jemaat filipi	philippi||1
dituai	encountered||1
petugas penyelamat kemudian orang rombongan keadaan tewas	rescuers||1
gabungan uno-ven penghasilan	uno-ven||1
history dihadiri	history||1
mengakui meragukan pencapaian angka	doubted||1
terasing	alienated||1 isolated||1
minyak	crude||27 oil||1 petroleum||1 grease||1 oils||5
and dentistry	dentistry||1
seperti ini	this||1
jika si a si	if||1
diperlukan biaya	costs||1
spielvogel spielvogel	spielvogel||1
kelima	five||22 fifth||61
chardonnays mahal kisaran harga	chardonnays||1
jika tidak mengujinya pengajaran	otherwise||1
liter	litre||1
zona hijau daerah	zone||1
membor	drill||1
tua us	parent||1
membawa	led||6 takes||1 lead||8 brings||13 taking||10 carried||8 took||21 toting||1 brought||31 bring||69 carries||14 carrying||32 take||24 carry||23 bringing||1 taken||4
kayaking canoeing selalu air favorit kalangan lokal maupun asing	canoeing||1
kepada pemasok	suppliers||1
tanggal juli	july||3
adanya jaminan pemasaran	guaranteed||1
aplikasi	application||1 app||1 applications||1
elektronika	electronics||1
membom	bombed||4 bombing||2
perihal memiliki sendiri	owning||1
bahaya maupun	danger||1
muatan	load||1 cargo||1
bergerak bidang usaha	engaged||1
mesjid	mosque||1
tertanam perangkat	implanted||1
gelembung	bubble||1 bubbles||1 vesicle||1
bekas paku	nail||1
the oneida	oneida||1
lanjut dia melemah setelah negara paman sam dilanda	weakening||1
membantu mengurangi	reducing||1
bakar perbatasan panggang	grilled||1
membuat kagum	impressed||1
israeli manufacturers  protes	manufacturers||1
kesaksian depan	testimony||1
alasan pemilihan mewakili pemilihan	represented||1
metamorfosis	metamorphosis||1
penyelenggaraan salafiyah	salafiyah||1
merupakan ilusi	illusion||1
dibuka	open||13 opened||42
menyala	flashing||1 glowed||1
upaya menghentikan lanka	lanka||1
memungkinkan berbagai	enable||1
peran	role||1 roles||1
ehrenberg dkk	ehrenberg||1
perak	silver||1
berusaha mencari	seek||2
perah	dairy||1
bosnia aleksandar	aleksandar||1
dalam rangka peserta	participants||1
promotion of improve of	promotion||1
pemutusan gangguan-gangguan	disconnection||1
digambarkan	illustrated||1 imagined||1 depicted||1 described||1 portrayed||1
berbasis luas	broad-based||1
geologis teramat sempit	geologic||1
pramuka sangat eagle scout	scout||1
gambaran para pembaca	readers||1
tepung pun	flour||1
secara dramatis mengubahkan	dramatically||1
citarasa mulai fusion sebagainya	fusion||1
pendirian	establishment||13 stance||2
ims-saadp diharapkan	ims-saadp||1
diperdagangkan harga	traded||1
penganiayaan kesukaran ataupun rasa	mistreatment||1
mahasiswa memuji melontarkan kritik	commending||1
us geological	geological||1
ratu bagi	queen||1
roswell army	roswell||1
dimanfaatkan mensubsidi	subsidize||1
ffyona akhirnya	finally||1
bergerak mobil	mobile||1
sehubungan	regarding||1
temuan utama	findings||1
tempat lereng gunung	mountainside||1
bagi para gakin	gakin||1
setahun sebelumnya	year-earlier||1
tim tinjauan jender tim analisis	gender||1
pengujian kapal	vessel||1
anak perempuan	girls||1 daughters||1
proyek direncanakan	smelter||1
penambangan	mining||1 exploration||1
meninggal dunia)	dies||1
kesusahan melanda	trouble||1
lokal atas dedikasi terhadap segala	dedication||1
berbagai perbaikan	improvements||1
kamar mandi rumah pemiliknya kamar mandi/wc	toilet||1
pengiriman portofolio	portfolios||1
ringan bagi	lightly||1
sama seperti hewlett ast	ast||1
saja sebagai anekdot ingin	anecdotal||1
televisi bertambah	television||1
azis ketika menyampaikan laporan	azis||1
sesungguhnya	real||1 indeed||1 really||1 true||1 actually||1
belum diketahui perkembangannya	unknown||1
gas-gas beracun sedangkan	gases||1
memburuk saat	deteriorated||1
merupakan tas tercampur  sebut	bag||1
miliaran	billions||5
usaha nicolas	nicolas||1
sudah memadai	sufficient||1
kericuhan	turmoil||1
thendayuthapani temple	thendayuthapani||1
umbi-umbian	tubers||1
penelitian-penelitian kuantitatif	quantitative||1
mempertahankan okinawa	okinawa||1
semakin luas	wider||1
berpusat	centered||1 centred||1 revolves||1
lebih baik ujar	better||1
pilevsky kerja sama	pilevsky||1
dua organisasi muslim hebdo	hebdo||1
coda perusahaan lainnya bagian	coda||1
tetua hawiya	hawiye||1
persetujuan sementara	interim||1
setara dengan	equivalent||1
menerimanya	receive||1 accept||1
kokoh pasti dijual	sale||1
hipotesis akhirnya	hypothesis||1
sangat krusial	crucial||1
bimbingan	guidance||20
yudas	judas||1
wizards	wizards||13
crayfish (lobster crayfish sereal renyah) menu banyak dicari	crayfish||1
tetap terus tetap	kept||1
lebih lebih	better||2 more||3 older||1
timbul loan agreement sepenuhnya dilimpahkan pass-on naskah perjanjian penerusan	arising||1
keadaan kondisi	condition||1
menjala	catching||1
menyembunyikan kehamilannya	conceal||1
rangers berhadapan	rangers||1
kereta api friendship express	friendship||1
pasukan perbatasan pakistan	frontier||1
institutional viability lembaga	viability||1
dipegang	held||1
keahlian ahli/spesialis	expertise||1
kuning telur menyimpan telur berguna	yolk||1
bilbao	bilbao||1
melalui wawancara terhadap	interviewing||1
vink bertindak memberi tahu	vink||1
brazil derlei	derlei||1
banding	appealed||1 appeals||1 appeal||1 appellate||1
ketidakjelasan	volatility||1
pengelolaannya bervariasi	varied||1
ongkos	fare||1 charges||1 charge||1 costs||1 cost||1
peserta	participant||2 participants||30 delegates||2 member||1 competitors||1 members||3
emansipasi delta	delta||1
bbm kenaikan	fuel||1
promis-nt/gtz	promis-nt||1
bersejarah	historic||1 historical||1
akhir nanti	end||1
memang benar tiada bumi	earth||1
pengembangbiakkan babi	swine||1
negaranya kontroversi	controversial||1
pengikut	follow||1 follower||1 followers||1 loyal||1
tindakan bermoral	immoral||1
semikonduktor	semiconductor||15 semiconductors||1
mengeluarkan dana membayar pemasangan nigeria berjaya	nigerians||1
oas bangsa-bangsa bisa dijadikan	oas||1
harus dikeluarkan lapangan morte	morte||1
asli omong kosong	drivel||1
kelompok telesis bellnya kerugian	telesis||1
kepentingan mendirikan	interest||1
community protector pelindung masyarakat fungsi 'law enforcement' masyarakat	protector||1
uang	money||1 currencies||1 fee||1 cash||1 currency||1
tidak terkontrol	uncontrolled||1
